,X_pan,X_pitch,X_mainVol,X_expression,X_velocity,X_ovVol,Y_pan,Y_pitch,Y_mainVol,Y_expression,Y_velocity,Y_ovVol,Diff_timing(MicroSeconds),Diff_timing(Beats),Diff_pitch,Diff_freq,Diff_pan,Diff_mainVol,Diff_expression,Diff_velocity,Diff_ovVol,Diff_octave,Diff_program(group),X_panClassification,Y_panClassification,HasDiff_timing,HasDiff_program,HasDiff_pan,HasDiff_pitch,HasDiff_ppp,HasDiff_ovVol,HasDiff_octave,X_panIsCenter,Y_panIsCenter,X_hasPitchBend,Y_hasPitchBend
X_pan,1.0,0.005116544404578151,,,-0.027666497457736583,-0.027666497457738023,-0.2694723777591038,-0.05873084764597008,,,-0.02219879231797042,-0.022198792317971738,,,-0.07619457069087134,-0.1122830329843097,-0.7938522926041559,,,0.008249698905953461,0.008249698905953042,0.018007214897346947,0.055508940269159944,0.9777087433076889,-0.2583899363748001,,0.04153547497512911,-0.11541055820262108,-0.0435435841272935,-0.038295188634969723,0.03922321183049659,0.06455983834869558,-0.06062704585057807,-0.06846831134786455,0.03306459188429964,-0.043463112479189804
X_pitch,0.005116544404578151,1.0,,,0.01653944024844257,0.016539440248443067,-0.05732032478725249,0.648913084290695,,,0.014530142190313252,0.014530142190313667,,,-0.4189618854554676,-0.343674604051634,-0.039387189502642965,,,-0.002991072300641969,-0.0029910723006420473,-0.010641290349636703,0.03148089130265806,0.003174163739730478,-0.05715524862129377,,0.03790565479837648,0.023532903030805918,0.001827405239585154,0.031579517586076064,-0.026818832912883582,-0.07663379133168398,-0.04925676974236614,-0.05398346128443144,-0.07453550278686258,-0.0823646255817996
X_mainVol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_velocity,-0.027666497457736583,0.01653944024844257,,,1.0,1.00000000000001,-0.014210937940741372,0.015733861723605073,,,0.7885848999607962,0.7885848999608088,,,-0.00096102265283669,-0.0011831633087659985,0.008281499683533772,,,-0.31942814710605744,-0.31942814710604445,0.004471345754207224,0.21764388461153802,-0.021880101276192547,-0.00851060384756303,,0.2293049367722446,-0.06571276134698714,-0.057486753894517156,0.06771956282738291,-0.3355309816117375,0.015676205956260573,0.12643661755030408,0.13203656989094803,-0.1230391399277404,-0.11897138975277448
X_ovVol,-0.027666497457738023,0.016539440248443067,,,1.00000000000001,1.0,-0.01421093794074356,0.01573386172360481,,,0.7885848999608067,0.7885848999608348,,,-0.0009610226528368205,-0.0011831633087658964,0.008281499683533464,,,-0.3194281471060541,-0.31942814710606293,0.0044713457542071185,0.21764388461153802,-0.021880101276194455,-0.008510603847565742,,0.22930493677225589,-0.0657127613469904,-0.057486753894523256,0.06771956282738029,-0.3355309816117395,0.015676205956261756,0.1264366175503074,0.1320365698909503,-0.12303913992774511,-0.1189713897527866
Y_pan,-0.2694723777591038,-0.05732032478725249,,,-0.014210937940741372,-0.01421093794074356,1.0,0.003923859262148354,,,-0.021476099000695973,-0.021476099000697097,,,0.0730868470361728,0.1092621526303245,0.7995367383059854,,,-0.011286192532994102,-0.011286192532993868,-0.018019269181995718,0.0651713826648904,-0.2570060843805676,0.9787860892113331,,0.05142120629799343,-0.12557663107501052,-0.03664135021322849,-0.040540264016690704,0.023466853825912192,0.0637468492147063,-0.05963102467231525,-0.04908405805541205,-0.03477642129950009,0.032582120214920005
Y_pitch,-0.05873084764597008,0.648913084290695,,,0.015733861723605073,0.01573386172360481,0.003923859262148354,1.0,,,0.016744189386676038,0.016744189386676114,,,0.4189962466532563,0.34580637922121427,0.039107559135265355,,,0.0016570903534158608,0.001657090353415711,0.012872659762145041,0.03201112318625593,-0.05792549884383181,0.0016473682259992514,,0.039240937575823684,0.02482634489194142,0.0013435646068007683,0.03145304578097331,-0.02250508555203505,-0.0793031638299394,-0.05188236944983697,-0.051863084671859176,-0.08714815593944905,-0.07173769241955182
Y_mainVol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_velocity,-0.02219879231797042,0.014530142190313252,,,0.7885848999607962,0.7885848999608067,-0.021476099000695973,0.016744189386676038,,,1.0,1.0000000000000289,,,0.0026425189591203838,0.0014430166424089655,0.0002836238755828421,,,0.3308140205031067,0.3308140205030965,-0.0013947673496027082,0.22051978994021734,-0.0161366853925625,-0.015626217966341772,,0.23273584497072314,-0.0614186063101073,-0.05822533443557485,0.0721999017347815,-0.338841422835068,0.017513100404908347,0.11958045416565198,0.1315365229371601,-0.1046591529708568,-0.13435514117375688
Y_ovVol,-0.022198792317971738,0.014530142190313667,,,0.7885848999608088,0.7885848999608348,-0.021476099000697097,0.016744189386676114,,,1.0000000000000289,1.0,,,0.0026425189591203443,0.0014430166424090022,0.0002836238755830572,,,0.33081402050310604,0.3308140205031048,-0.001394767349602822,0.2205197899402166,-0.016136685392563715,-0.01562621796634313,,0.23273584497072725,-0.06141860631011005,-0.05822533443557511,0.07219990173478173,-0.3388414228350835,0.017513100404907153,0.11958045416565445,0.1315365229371622,-0.10465915297086244,-0.1343551411737605
Diff_timing(MicroSeconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diff_timing(Beats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diff_pitch,-0.07619457069087134,-0.4189618854554676,,,-0.00096102265283669,-0.0009610226528368205,0.0730868470361728,0.4189962466532563,,,0.0026425189591203838,0.0026425189591203443,,,1.0,0.772905235905236,0.09367382827448024,,,0.0055469967141797555,0.005546996714179922,0.02806103155324041,0.0006334281038639528,-0.07291550526585724,0.07017311478345684,,0.0015942996325437667,0.0015440676981172288,-0.0005773712652304037,-0.0001502717908658511,0.005147413155882633,-0.0031871926256987647,-0.003134384224469448,0.0025293059245100388,-0.015053335388798831,0.012680332450351689
Diff_freq,-0.1122830329843097,-0.343674604051634,,,-0.0011831633087659985,-0.0011831633087658964,0.1092621526303245,0.34580637922121427,,,0.0014430166424089655,0.0014430166424090022,,,0.772905235905236,1.0,0.13434000531389406,,,0.0043464072222351696,0.004346407222235303,,0.0017654090618605131,-0.10887160330960027,0.10601258756510167,,0.002579175562625296,-0.0011868917709519293,-0.0005571969093272164,-0.00015618782114757782,0.004284877599214555,,-0.011933220746651173,0.015112114275189206,-0.033428538264799836,0.028179368184326353
Diff_pan,-0.7938522926041559,-0.039387189502642965,,,0.008281499683533772,0.008281499683533464,0.7995367383059854,0.039107559135265355,,,0.0002836238755828421,0.0002836238755830572,,,0.09367382827448024,0.13434000531389406,1.0,,,-0.012272133900849986,-0.012272133900849896,-0.022609520551130236,0.006533472461042281,-0.7720774010317935,0.7792288000767771,,0.00656574113935364,-0.007317611672895386,0.004019727716391596,-0.0017156833858289477,-0.009644458526245524,-1.1019472608859304e-05,0.0001572008875748945,0.011707800620857543,-0.04258227190307446,0.047682075598082886
Diff_mainVol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diff_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diff_velocity,0.008249698905953461,-0.002991072300641969,,,-0.31942814710605744,-0.3194281471060541,-0.011286192532994102,0.0016570903534158608,,,0.3308140205031067,0.33081402050310604,,,0.0055469967141797555,0.0043464072222351696,-0.012272133900849986,,,1.0,0.9999999999999996,-0.009011308849657406,0.005817305025061705,0.008711408872903288,-0.011019450834209766,,0.0067468057743452735,0.006199042666323266,-0.0015041166404132964,0.007335365869251461,-0.007237383940118324,0.002930475775241479,-0.009760578622034388,6.994551160753719e-05,0.02754060031016524,-0.024463958215915585
Diff_ovVol,0.008249698905953042,-0.0029910723006420473,,,-0.31942814710604445,-0.31942814710606293,-0.011286192532993868,0.001657090353415711,,,0.3308140205030965,0.3308140205031048,,,0.005546996714179922,0.004346407222235303,-0.012272133900849896,,,0.9999999999999996,1.0,-0.009011308849657057,0.00581730502506164,0.008711408872903078,-0.011019450834209644,,0.006746805774344939,0.006199042666322988,-0.0015041166404132576,0.007335365869251537,-0.007237383940117683,0.0029304757752413794,-0.009760578622034489,6.994551160784463e-05,0.02754060031016494,-0.02446395821591417
Diff_octave,0.018007214897346947,-0.010641290349636703,,,0.004471345754207224,0.0044713457542071185,-0.018019269181995718,0.012872659762145041,,,-0.0013947673496027082,-0.001394767349602822,,,0.02806103155324041,,-0.022609520551130236,,,-0.009011308849657406,-0.009011308849657057,1.0,0.005363739502386357,0.03084656331850314,-0.029930169331146405,,0.003131577109706724,-0.0034740368050466598,-0.004790588324133698,0.0013233187757960509,-0.00657586205321603,-0.0015963372102747555,0.020688398184162123,-0.020433551606807165,-0.01974041006707766,0.008945959243599443
Diff_program(group),0.055508940269159944,0.03148089130265806,,,0.21764388461153802,0.21764388461153802,0.0651713826648904,0.03201112318625593,,,0.22051978994021734,0.2205197899402166,,,0.0006334281038639528,0.0017654090618605131,0.006533472461042281,,,0.005817305025061705,0.00581730502506164,0.005363739502386357,1.0,0.06177790245704217,0.07232021648655569,,0.9486623582904447,-0.257981911957608,-0.2678322879019438,0.21962495208730595,0.007485364437475409,0.24543588052598606,0.3006197004712881,0.31489879962641953,-0.22649874378648396,-0.2526517253094811
X_panClassification,0.9777087433076889,0.003174163739730478,,,-0.021880101276192547,-0.021880101276194455,-0.2570060843805676,-0.05792549884383181,,,-0.0161366853925625,-0.016136685392563715,,,-0.07291550526585724,-0.10887160330960027,-0.7720774010317935,,,0.008711408872903288,0.008711408872903078,0.03084656331850314,0.06177790245704217,1.0,-0.23669360015884314,,0.04331189039991706,-0.10954917144875184,-0.048852998372565494,-0.03898521019283662,0.044683102620012266,0.07169717797851365,-0.0517009638593678,-0.0605566648446741,0.026651897314140062,-0.04936008335283391
Y_panClassification,-0.2583899363748001,-0.05715524862129377,,,-0.00851060384756303,-0.008510603847565742,0.9787860892113331,0.0016473682259992514,,,-0.015626217966341772,-0.01562621796634313,,,0.07017311478345684,0.10601258756510167,0.7792288000767771,,,-0.011019450834209766,-0.011019450834209644,-0.029930169331146405,0.07232021648655569,-0.23669360015884314,1.0,,0.05382096181558156,-0.119134310617466,-0.041594265783325854,-0.041109009147447646,0.030378116973916663,0.07298213172844438,-0.05284720265225333,-0.04139119835762087,-0.04004996630113754,0.02636494515362689
HasDiff_timing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HasDiff_program,0.04153547497512911,0.03790565479837648,,,0.2293049367722446,0.22930493677225589,0.05142120629799343,0.039240937575823684,,,0.23273584497072314,0.23273584497072725,,,0.0015942996325437667,0.002579175562625296,0.00656574113935364,,,0.0067468057743452735,0.006746805774344939,0.003131577109706724,0.9486623582904447,0.04331189039991706,0.05382096181558156,,1.0,-0.2405953590687733,-0.25969975305269744,0.23151013652855065,-0.019529233775344917,0.23565777327395615,0.28734650680982105,0.30109275644530886,-0.2191945596323145,-0.2407586149265157
HasDiff_pan,-0.11541055820262108,0.023532903030805918,,,-0.06571276134698714,-0.0657127613469904,-0.12557663107501052,0.02482634489194142,,,-0.0614186063101073,-0.06141860631011005,,,0.0015440676981172288,-0.0011868917709519293,-0.007317611672895386,,,0.006199042666323266,0.006199042666322988,-0.0034740368050466598,-0.257981911957608,-0.10954917144875184,-0.119134310617466,,-0.2405953590687733,1.0,0.23131065340232226,0.23445947428226127,-0.008497261583514265,-0.09816922002884768,-0.4893153046824501,-0.5029249223862022,0.14417368062149466,0.1502582318311627
HasDiff_pitch,-0.0435435841272935,0.001827405239585154,,,-0.057486753894517156,-0.057486753894523256,-0.03664135021322849,0.0013435646068007683,,,-0.05822533443557485,-0.05822533443557511,,,-0.0005773712652304037,-0.0005571969093272164,0.004019727716391596,,,-0.0015041166404132964,-0.0015041166404132576,-0.004790588324133698,-0.2678322879019438,-0.048852998372565494,-0.041594265783325854,,-0.25969975305269744,0.23131065340232226,1.0,0.2602689117305673,-0.12464638888006443,-0.13809314644860393,-0.16330760991085344,-0.17690627328864733,0.6204564014318805,0.6543164156789804
HasDiff_ppp,-0.038295188634969723,0.031579517586076064,,,0.06771956282738291,0.06771956282738029,-0.040540264016690704,0.03145304578097331,,,0.0721999017347815,0.07219990173478173,,,-0.0001502717908658511,-0.00015618782114757782,-0.0017156833858289477,,,0.007335365869251461,0.007335365869251537,0.0013233187757960509,0.21962495208730595,-0.03898521019283662,-0.041109009147447646,,0.23151013652855065,0.23445947428226127,0.2602689117305673,1.0,-0.18433537059393212,-0.002075989903772517,-0.022211720736159787,-0.025116048363907954,0.1488127854247012,0.15772239477202413
