Diff_timing(Beats),proportion
0.0,0.41555489348633257
0.5,0.18688814194647477
0.25,0.07937962072183337
0.75,0.07066874387239622
0.3333333333333333,0.019001970020513938
0.6666666666666666,0.013820330454207195
0.375,0.013133907583594624
0.125,0.012023556247957465
0.4166666666666667,0.011056264363365756
0.16666666666666666,0.01043546509415018
0.20833333333333334,0.010209719905344517
0.08333333333333333,0.010006286741013832
0.5833333333333334,0.009327738702568901
0.2916666666666667,0.008840811580203197
0.041666666666666664,0.008565192454335816
0.4375,0.008380133898396291
0.8333333333333334,0.007793458901907153
0.7083333333333334,0.006906227811019777
0.0625,0.006885228258572739
0.9166666666666666,0.006687044982353813
0.875,0.006578109804034802
0.7916666666666666,0.006555797779559823
0.625,0.006226367300546907
0.4583333333333333,0.005370635538330089
0.020833333333333332,0.005176389678194984
0.5625,0.0048180848145673895
0.9375,0.0040804755348651635
0.5208333333333334,0.0032943047901291605
0.1875,0.0030331228565691195
0.5416666666666666,0.002900563181747189
0.3125,0.0024569476363035013
0.6875,0.0023453875139286093
0.9583333333333334,0.002176078622324362
0.10416666666666667,0.0020592686118377102
0.22916666666666666,0.0015487169929690873
0.0020833333333333333,0.0013977827097559983
0.8125,0.0013269092202472434
0.4791666666666667,0.0013137844999678444
0.7708333333333334,0.001114288751720979
0.4,0.0010683522307430823
0.7291666666666666,0.0010486651503239838
0.9791666666666666,0.001032915485988705
0.025,0.0009646669405358299
0.2708333333333333,0.0008977308671108947
0.9979166666666667,0.0008675440104682769
0.5020833333333333,0.0007297344475345869
0.3541666666666667,0.0006588609580258321
0.275,0.0005814251083773777
0.4979166666666667,0.0005263012832039017
0.14583333333333334,0.0004882395943936445
0.2,0.000467240041946606
0.8,0.0004593652097789666
0.525,0.0004567402657230868
0.775,0.0004318032971922286
0.15,0.00034911755943201463
0.6041666666666666,0.000343867671320255
0.004166666666666667,0.0003373053111805555
0.8541666666666666,0.00029793115034235833
0.65,0.00028086901397913957
0.6,0.0002664318216718006
0.49375,0.00025199462936446166
0.9,0.00024805721328064194
0.3958333333333333,0.00021524541258214434
0.09375,0.00021130799649832463
0.07083333333333333,0.0002008082202748054
0.6458333333333334,0.00019424586013510586
0.8958333333333334,0.00019293338810716596
0.425,0.00019293338810716596
0.5083333333333333,0.00016405900349248807
0.825,0.00015749664335278855
0.05,0.00015749664335278855
0.50625,0.00015355922726896883
0.5041666666666667,0.00015224675524102893
0.49166666666666664,0.0001469968671292693
0.175,0.00013780956293368997
0.5104166666666666,0.00013649709090575007
0.7,0.00013387214684987026
0.225,0.00013124720279399045
0.4875,0.00012468484265429092
0.7520833333333333,0.00012468484265429092
0.7479166666666667,0.0001168100104866515
0.4895833333333333,0.0001141850664307717
0.1,0.0001141850664307717
0.975,0.00011287259440283179
0.575,0.00011024765034695198
0.49583333333333335,0.00010762270629107217
0.675,0.00010237281817931255
0.075,0.00010106034615137265
0.5125,9.712293006755293e-05
0.95,9.581045803961303e-05
0.725,9.187304195579331e-05
0.475,9.056056992785342e-05
0.325,8.66231538440337e-05
0.45,8.53106818160938e-05
0.85,8.53106818160938e-05
0.9958333333333333,8.39982097881539e-05
0.925,7.612337762051446e-05
0.3,7.481090559257456e-05
0.35,7.349843356463465e-05
0.9875,7.087348950875484e-05
0.2520833333333333,7.087348950875484e-05
0.55,6.693607342493513e-05
0.19583333333333333,6.431112936905532e-05
0.59375,6.431112936905532e-05
0.24791666666666667,5.9061241257295706e-05
0.04375,5.77487692293558e-05
0.00625,5.77487692293558e-05
0.41875,5.249888111759618e-05
0.8208333333333333,4.8561465033776465e-05
0.8020833333333334,4.8561465033776465e-05
0.24166666666666667,4.724899300583656e-05
0.9895833333333334,4.331157692201685e-05
0.48333333333333334,4.199910489407695e-05
0.9145833333333333,4.199910489407695e-05
0.90625,4.199910489407695e-05
0.44583333333333336,3.674921678231733e-05
0.96875,3.412427272643752e-05
0.7583333333333333,3.281180069849761e-05
0.4270833333333333,3.281180069849761e-05
0.23958333333333334,3.281180069849761e-05
0.2625,3.149932867055771e-05
0.05416666666666667,3.149932867055771e-05
0.5270833333333333,3.0186856642617805e-05
0.010416666666666666,2.7561912586737995e-05
0.32083333333333336,2.7561912586737995e-05
0.5479166666666667,2.624944055879809e-05
0.19791666666666666,2.624944055879809e-05
0.029166666666666667,2.624944055879809e-05
0.9708333333333333,2.624944055879809e-05
0.7958333333333333,2.4936968530858185e-05
0.4479166666666667,2.4936968530858185e-05
0.40625,2.362449650291828e-05
0.25833333333333336,2.231202447497838e-05
0.14375,2.231202447497838e-05
0.11666666666666667,2.0999552447038474e-05
0.3645833333333333,2.0999552447038474e-05
0.8875,2.0999552447038474e-05
0.027083333333333334,2.0999552447038474e-05
0.99375,2.0999552447038474e-05
0.7979166666666667,1.8374608391158664e-05
0.14791666666666667,1.8374608391158664e-05
0.3729166666666667,1.8374608391158664e-05
0.8770833333333333,1.8374608391158664e-05
0.5708333333333333,1.8374608391158664e-05
0.20625,1.8374608391158664e-05
0.21875,1.706213636321876e-05
0.9479166666666666,1.706213636321876e-05
0.9916666666666667,1.706213636321876e-05
0.8729166666666667,1.706213636321876e-05
0.45625,1.706213636321876e-05
0.6541666666666667,1.5749664335278853e-05
0.21041666666666667,1.5749664335278853e-05
0.7625,1.5749664335278853e-05
0.15208333333333332,1.5749664335278853e-05
0.07708333333333334,1.5749664335278853e-05
0.0125,1.5749664335278853e-05
0.27708333333333335,1.5749664335278853e-05
0.10208333333333333,1.5749664335278853e-05
0.5979166666666667,1.5749664335278853e-05
0.8708333333333333,1.5749664335278853e-05
0.53125,1.5749664335278853e-05
0.35208333333333336,1.443719230733895e-05
0.39375,1.443719230733895e-05
0.6020833333333333,1.443719230733895e-05
0.052083333333333336,1.443719230733895e-05
0.47708333333333336,1.3124720279399045e-05
0.6479166666666667,1.3124720279399045e-05
0.7270833333333333,1.3124720279399045e-05
0.9041666666666667,1.3124720279399045e-05
0.6229166666666667,1.3124720279399045e-05
0.8041666666666667,1.3124720279399045e-05
0.44375,1.3124720279399045e-05
0.7229166666666667,1.3124720279399045e-05
0.5520833333333334,1.3124720279399045e-05
0.7041666666666667,1.181224825145914e-05
0.75625,1.181224825145914e-05
0.9520833333333333,1.181224825145914e-05
0.9395833333333333,1.0499776223519237e-05
0.9625,1.0499776223519237e-05
0.20416666666666666,1.0499776223519237e-05
0.8416666666666667,1.0499776223519237e-05
0.48125,1.0499776223519237e-05
0.0375,1.0499776223519237e-05
0.3770833333333333,1.0499776223519237e-05
0.46875,1.0499776223519237e-05
0.7833333333333333,1.0499776223519237e-05
0.03958333333333333,1.0499776223519237e-05
0.9229166666666667,1.0499776223519237e-05
0.9020833333333333,1.0499776223519237e-05
0.3229166666666667,1.0499776223519237e-05
0.41458333333333336,1.0499776223519237e-05
0.79375,1.0499776223519237e-05
0.55625,1.0499776223519237e-05
0.8979166666666667,1.0499776223519237e-05
0.36875,1.0499776223519237e-05
0.5229166666666667,1.0499776223519237e-05
0.20208333333333334,1.0499776223519237e-05
0.12291666666666666,1.0499776223519237e-05
0.008333333333333333,9.187304195579332e-06
0.2604166666666667,9.187304195579332e-06
0.26666666666666666,9.187304195579332e-06
0.3458333333333333,7.874832167639427e-06
0.40208333333333335,7.874832167639427e-06
0.2791666666666667,7.874832167639427e-06
0.29791666666666666,7.874832167639427e-06
0.5291666666666667,7.874832167639427e-06
0.24583333333333332,7.874832167639427e-06
0.09791666666666667,7.874832167639427e-06
0.54375,7.874832167639427e-06
0.89375,7.874832167639427e-06
0.8479166666666667,7.874832167639427e-06
0.16458333333333333,7.874832167639427e-06
0.94375,7.874832167639427e-06
0.4354166666666667,7.874832167639427e-06
0.30416666666666664,7.874832167639427e-06
0.41041666666666665,7.874832167639427e-06
0.9770833333333333,7.874832167639427e-06
0.8666666666666667,7.874832167639427e-06
0.44166666666666665,7.874832167639427e-06
0.47291666666666665,7.874832167639427e-06
0.5583333333333333,7.874832167639427e-06
0.84375,7.874832167639427e-06
0.6979166666666666,7.874832167639427e-06
0.7770833333333333,6.5623601396995226e-06
0.11041666666666666,6.5623601396995226e-06
0.6958333333333333,6.5623601396995226e-06
0.7458333333333333,6.5623601396995226e-06
0.9458333333333333,6.5623601396995226e-06
0.65625,5.249888111759618e-06
0.6583333333333333,5.249888111759618e-06
0.21666666666666667,5.249888111759618e-06
0.7166666666666667,5.249888111759618e-06
0.8833333333333333,5.249888111759618e-06
0.9416666666666667,5.249888111759618e-06
0.86875,5.249888111759618e-06
0.73125,5.249888111759618e-06
0.61875,5.249888111759618e-06
0.80625,5.249888111759618e-06
0.98125,5.249888111759618e-06
0.6520833333333333,5.249888111759618e-06
0.42916666666666664,5.249888111759618e-06
0.11875,5.249888111759618e-06
0.38333333333333336,5.249888111759618e-06
0.6916666666666667,5.249888111759618e-06
0.19375,5.249888111759618e-06
0.5958333333333333,5.249888111759618e-06
0.25625,5.249888111759618e-06
0.36666666666666664,5.249888111759618e-06
0.9666666666666667,5.249888111759618e-06
0.06041666666666667,5.249888111759618e-06
0.3416666666666667,5.249888111759618e-06
0.06875,5.249888111759618e-06
0.51875,5.249888111759618e-06
0.7395833333333334,5.249888111759618e-06
0.022916666666666665,5.249888111759618e-06
0.5541666666666667,3.937416083819713e-06
0.11458333333333333,3.937416083819713e-06
0.45208333333333334,3.937416083819713e-06
0.4625,3.937416083819713e-06
0.6208333333333333,3.937416083819713e-06
0.24375,3.937416083819713e-06
0.69375,3.937416083819713e-06
0.33958333333333335,2.624944055879809e-06
0.45416666666666666,2.624944055879809e-06
0.9083333333333333,2.624944055879809e-06
0.17916666666666667,2.624944055879809e-06
0.42291666666666666,2.624944055879809e-06
0.4041666666666667,2.624944055879809e-06
0.17708333333333334,2.624944055879809e-06
0.14166666666666666,2.624944055879809e-06
0.30625,2.624944055879809e-06
0.22708333333333333,2.624944055879809e-06
0.04583333333333333,2.624944055879809e-06
0.37916666666666665,2.624944055879809e-06
0.3020833333333333,2.624944055879809e-06
0.7020833333333333,2.624944055879809e-06
0.15833333333333333,2.624944055879809e-06
0.01875,2.624944055879809e-06
0.07291666666666667,2.624944055879809e-06
0.9645833333333333,2.624944055879809e-06
0.7895833333333333,2.624944055879809e-06
0.6729166666666667,2.624944055879809e-06
0.9354166666666667,2.624944055879809e-06
0.13125,2.624944055879809e-06
0.12708333333333333,2.624944055879809e-06
0.74375,2.624944055879809e-06
0.5166666666666667,2.624944055879809e-06
0.7416666666666667,2.624944055879809e-06
0.64375,2.624944055879809e-06
0.06458333333333334,2.624944055879809e-06
0.08541666666666667,2.624944055879809e-06
0.05625,2.624944055879809e-06
0.08125,2.624944055879809e-06
0.5458333333333333,2.624944055879809e-06
0.18541666666666667,2.624944055879809e-06
0.9729166666666667,2.624944055879809e-06
0.4125,2.624944055879809e-06
0.31875,2.624944055879809e-06
0.9125,2.624944055879809e-06
0.8291666666666667,2.624944055879809e-06
0.37083333333333335,2.624944055879809e-06
0.29583333333333334,2.624944055879809e-06
0.6375,2.624944055879809e-06
0.16875,2.624944055879809e-06
0.85625,1.3124720279399046e-06
0.26875,1.3124720279399046e-06
0.27291666666666664,1.3124720279399046e-06
0.39791666666666664,1.3124720279399046e-06
0.9541666666666667,1.3124720279399046e-06
0.7541666666666667,1.3124720279399046e-06
0.8458333333333333,1.3124720279399046e-06
0.7604166666666666,1.3124720279399046e-06
0.33125,1.3124720279399046e-06
0.6854166666666667,1.3124720279399046e-06
0.04791666666666667,1.3124720279399046e-06
0.95625,1.3124720279399046e-06
0.5729166666666666,1.3124720279399046e-06
0.17291666666666666,1.3124720279399046e-06
0.3145833333333333,1.3124720279399046e-06
0.8145833333333333,1.3124720279399046e-06
