,X_pan,X_pitch,X_mainVol,X_expression,X_velocity,X_ovVol,Y_pan,Y_pitch,Y_mainVol,Y_expression,Y_velocity,Y_ovVol,Diff_timing(MicroSeconds),Diff_timing(Beats),Diff_pitch,Diff_freq,Diff_pan,Diff_mainVol,Diff_expression,Diff_velocity,Diff_ovVol,Diff_octave,Diff_program(group),X_panClassification,Y_panClassification,HasDiff_timing,HasDiff_program,HasDiff_pan,HasDiff_pitch,HasDiff_ppp,HasDiff_ovVol,HasDiff_octave,X_panIsCenter,Y_panIsCenter,X_hasPitchBend,Y_hasPitchBend
X_pan,1.0,0.014210560391589057,,,-0.05919806427136864,-0.05919806427136527,-0.1196595583075118,-0.07195809070035203,,,-0.03436511515426492,-0.03436511515426438,-0.008857135624971056,0.03826602690019919,-0.07141696966704068,-0.11477963323943077,-0.7185706084910708,,,0.03064274603110794,0.030642746031107466,0.03236484505506438,0.06870326113007207,0.9638168633219142,-0.13181917347806513,,0.038219520577772115,-0.1833098233716394,0.019410194420018886,-0.088398417876482,0.08942502626853223,4.3530465194286126e-05,-0.07357169161728339,-0.04889374144828964,0.023946783362554732,-0.010545837785529652
X_pitch,0.014210560391589057,1.0,,,0.02474661677031407,0.02474661677031479,-0.029475854900009934,0.261078072265622,,,0.021452355947075206,0.021452355947075914,0.05353204027715519,0.011638717568707716,-0.5959066881125282,-0.3362685524856687,-0.029667616126992407,,,-0.003422611074823147,-0.0034226110748230834,-0.004059209948263226,0.0014428220923506704,0.013252843580029913,-0.02879178430237881,,0.01293882753298997,0.03725870650573943,0.013745315557436454,0.011607332987953464,0.010994688126358523,0.009581425467566117,-0.0351970659325417,-0.05447181049130663,-0.07931521033215348,-0.046654182646152315
X_mainVol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_velocity,-0.05919806427136864,0.02474661677031407,,,1.0,0.9999999999999736,-0.015745827320951384,0.0033832130862905922,,,0.7070304536723878,0.7070304536723805,0.029438825126270225,-0.03904460868652992,-0.017306936969927935,0.02006411819007969,0.026546261550281707,,,-0.3500431411351879,-0.35004314113519247,-0.03098667410769476,0.08876533840370626,-0.057501471444809514,-0.007024561389714534,,0.10816075241319967,0.04958936135987896,-0.025159850160198335,0.019764323600014358,-0.398017985402847,-0.0339547528067782,0.01874088278137375,-0.03541419963854392,-0.06121733177873556,0.025085940630976886
X_ovVol,-0.05919806427136527,0.02474661677031479,,,0.9999999999999736,1.0,-0.015745827320945722,0.00338321308628918,,,0.7070304536723764,0.707030453672367,0.02943882512627016,-0.03904460868652748,-0.017306936969927664,0.020064118190082202,0.026546261550281922,,,-0.35004314113518104,-0.35004314113518314,-0.030986674107693932,0.08876533840371072,-0.057501471444807085,-0.007024561389709425,,0.10816075241320014,0.04958936135987784,-0.02515985016019138,0.019764323600015662,-0.3980179854028499,-0.033954752806778385,0.018740882781372876,-0.035414199638544246,-0.061217331778733064,0.025085940630980717
Y_pan,-0.1196595583075118,-0.029475854900009934,,,-0.015745827320951384,-0.015745827320945722,1.0,0.0196732044505031,,,-0.0320472238294453,-0.0320472238294417,-0.056793146813812735,-0.013779081088815563,0.04033305102129172,0.07851839895970888,0.776441003032392,,,-0.022191520027443602,-0.022191520027443814,-0.039598340777192625,0.0827668982196878,-0.10702807411104286,0.9740369375932926,,0.05508458752477929,-0.19790047462942406,0.026273969501162762,-0.08858029025387905,0.10728702224597084,0.032127372499460044,-0.023471516277219363,-0.030526621250667775,0.038011814498442854,0.04810579999326704
Y_pitch,-0.07195809070035203,0.261078072265622,,,0.0033832130862905922,0.00338321308628918,0.0196732044505031,1.0,,,0.0048171567804622135,0.004817156780464779,0.10736342312079898,0.047817308211405785,0.6196237565910724,0.4224570639092685,0.05945626858107819,,,0.002028042232696563,0.002028042232696539,0.005276274703529345,0.02157449345988915,-0.06230457515486941,0.015526697430898084,,0.030768981302908324,0.10352115626791837,-0.04297154010302528,-0.0033937876002786325,0.052771440539077105,0.038465279525204094,-0.09273677111498424,-0.0980843870071069,-0.01260955582058889,-0.11939501438817897
Y_mainVol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
