Diff_timing(Beats),proportion
0.5,0.3197702228380354
0.25,0.13582048996072318
0.75,0.1209159647070184
0.3333333333333333,0.032512839629823424
0.6666666666666666,0.02364692646097808
0.375,0.022472439990029215
0.125,0.02057260145384807
0.4166666666666667,0.018917541168782463
0.16666666666666666,0.017855338299262745
0.20833333333333334,0.017469082710346483
0.08333333333333333,0.017121003545916134
0.5833333333333334,0.015959991107138766
0.2916666666666667,0.015126846784534506
0.041666666666666664,0.014655255658532094
0.4375,0.014338615902501904
0.8333333333333334,0.013334800505725341
0.7083333333333334,0.011816726214403292
0.0625,0.011780795461945964
0.9166666666666666,0.011441698985629944
0.875,0.011255308207257562
0.7916666666666666,0.011217131782771653
0.625,0.010653468103597342
0.4583333333333333,0.009189289940961283
0.020833333333333332,0.008856930480731011
0.5625,0.008243862016927875
0.9375,0.006981794336864278
0.5208333333333334,0.005636636791743113
0.1875,0.005189748058055113
0.5416666666666666,0.004962935183168239
0.3125,0.0042038980375072145
0.6875,0.004013015915077666
0.9583333333333334,0.0037233242233904707
0.10416666666666667,0.0035234594128465916
0.22916666666666666,0.002649892993727838
0.0020833333333333333,0.002391640710440803
0.8125,0.0022703744208973256
0.4791666666666667,0.0022479177006114967
0.7708333333333334,0.0019065755522668937
0.4,0.0018279770312664917
0.7291666666666666,0.0017942919508377479
0.9791666666666666,0.001767343886494753
0.025,0.0016505689410084416
0.2708333333333333,0.001536039667550713
0.9979166666666667,0.0014843892108933059
0.5020833333333333,0.0012485936478920999
0.3541666666666667,0.0011273273583486227
0.275,0.0009948327086622306
0.4979166666666667,0.0009005144834617483
0.14583333333333334,0.0008353899946328438
0.2,0.0007994592421755172
0.8,0.0007859852100040197
0.525,0.0007814938659468539
0.775,0.0007388260974037786
0.15,0.000597348759603055
0.6041666666666666,0.0005883660714887234
0.004166666666666667,0.0005771377113458088
0.8541666666666666,0.0005097675504883214
0.65,0.0004805738141167435
0.6,0.00045587142180233145
0.49375,0.0004311690294879194
0.9,0.0004244320134021707
0.3958333333333333,0.00036829021268759785
0.09375,0.0003615531966018491
0.07083333333333333,0.0003435878203731858
0.6458333333333334,0.0003323594602302712
0.8958333333333334,0.0003301137882016883
0.425,0.0003301137882016883
0.5083333333333333,0.0002807090035728642
0.825,0.0002694806434299496
0.05,0.0002694806434299496
0.50625,0.0002627436273442009
0.5041666666666667,0.00026049795531561795
0.49166666666666664,0.00025151526720128633
0.175,0.00023579556300120592
0.5104166666666666,0.00023354989097262301
0.7,0.00022905854691545718
0.225,0.00022456720285829137
0.7520833333333333,0.0002133388427153768
0.4875,0.0002133388427153768
0.7479166666666667,0.0001998648105438793
0.1,0.00019537346648671348
0.4895833333333333,0.00019537346648671348
0.975,0.00019312779445813057
0.575,0.00018863645040096474
0.49583333333333335,0.00018414510634379893
0.675,0.00017516241822946725
0.075,0.00017291674620088435
0.5125,0.0001661797301151356
0.95,0.0001639340580865527
0.725,0.00015719704200080396
0.475,0.00015495136997222103
0.325,0.0001482143538864723
0.45,0.0001459686818578894
0.85,0.0001459686818578894
0.9958333333333333,0.00014372300982930646
0.925,0.00013024897765780897
0.3,0.00012800330562922607
0.35,0.00012575763360064317
0.9875,0.00012126628954347733
0.2520833333333333,0.00012126628954347733
0.55,0.00011452927345772859
0.19583333333333333,0.00011003792940056277
0.59375,0.00011003792940056277
0.24791666666666667,0.00010105524128623111
0.04375,9.88095692576482e-05
0.00625,9.88095692576482e-05
0.41875,8.982688114331655e-05
0.8208333333333333,8.30898650575678e-05
0.8020833333333334,8.30898650575678e-05
0.24166666666666667,8.084419302898489e-05
0.9895833333333334,7.410717694323615e-05
0.48333333333333334,7.186150491465323e-05
0.9145833333333333,7.186150491465323e-05
0.90625,7.186150491465323e-05
0.44583333333333336,6.287881680032158e-05
0.96875,5.8387472743155754e-05
0.7583333333333333,5.614180071457284e-05
0.4270833333333333,5.614180071457284e-05
0.23958333333333334,5.614180071457284e-05
0.2625,5.3896128685989924e-05
0.05416666666666667,5.3896128685989924e-05
0.5270833333333333,5.165045665740701e-05
0.010416666666666666,4.7159112600241184e-05
0.32083333333333336,4.7159112600241184e-05
0.5479166666666667,4.491344057165827e-05
0.19791666666666666,4.491344057165827e-05
0.029166666666666667,4.491344057165827e-05
0.9708333333333333,4.491344057165827e-05
0.7958333333333333,4.266776854307536e-05
0.4479166666666667,4.266776854307536e-05
0.40625,4.042209651449244e-05
0.25833333333333336,3.817642448590953e-05
0.14375,3.817642448590953e-05
0.11666666666666667,3.5930752457326614e-05
0.3645833333333333,3.5930752457326614e-05
0.8875,3.5930752457326614e-05
0.027083333333333334,3.5930752457326614e-05
0.99375,3.5930752457326614e-05
0.7979166666666667,3.143940840016079e-05
0.14791666666666667,3.143940840016079e-05
0.3729166666666667,3.143940840016079e-05
0.8770833333333333,3.143940840016079e-05
0.5708333333333333,3.143940840016079e-05
0.20625,3.143940840016079e-05
0.21875,2.9193736371577877e-05
0.9479166666666666,2.9193736371577877e-05
0.9916666666666667,2.9193736371577877e-05
0.8729166666666667,2.9193736371577877e-05
0.45625,2.9193736371577877e-05
0.6541666666666667,2.6948064342994962e-05
0.21041666666666667,2.6948064342994962e-05
0.7625,2.6948064342994962e-05
0.15208333333333332,2.6948064342994962e-05
0.07708333333333334,2.6948064342994962e-05
0.0125,2.6948064342994962e-05
0.27708333333333335,2.6948064342994962e-05
0.10208333333333333,2.6948064342994962e-05
0.5979166666666667,2.6948064342994962e-05
0.8708333333333333,2.6948064342994962e-05
0.53125,2.6948064342994962e-05
0.35208333333333336,2.470239231441205e-05
0.39375,2.470239231441205e-05
0.6020833333333333,2.470239231441205e-05
0.052083333333333336,2.470239231441205e-05
0.47708333333333336,2.2456720285829136e-05
0.6479166666666667,2.2456720285829136e-05
0.7270833333333333,2.2456720285829136e-05
0.9041666666666667,2.2456720285829136e-05
0.6229166666666667,2.2456720285829136e-05
0.8041666666666667,2.2456720285829136e-05
0.44375,2.2456720285829136e-05
0.7229166666666667,2.2456720285829136e-05
0.5520833333333334,2.2456720285829136e-05
0.7041666666666667,2.021104825724622e-05
0.75625,2.021104825724622e-05
0.9520833333333333,2.021104825724622e-05
0.9395833333333333,1.7965376228663307e-05
0.9625,1.7965376228663307e-05
0.20416666666666666,1.7965376228663307e-05
0.8416666666666667,1.7965376228663307e-05
0.48125,1.7965376228663307e-05
0.0375,1.7965376228663307e-05
0.3770833333333333,1.7965376228663307e-05
0.46875,1.7965376228663307e-05
0.7833333333333333,1.7965376228663307e-05
0.03958333333333333,1.7965376228663307e-05
0.9229166666666667,1.7965376228663307e-05
0.9020833333333333,1.7965376228663307e-05
0.3229166666666667,1.7965376228663307e-05
0.41458333333333336,1.7965376228663307e-05
0.79375,1.7965376228663307e-05
0.55625,1.7965376228663307e-05
0.8979166666666667,1.7965376228663307e-05
0.36875,1.7965376228663307e-05
0.5229166666666667,1.7965376228663307e-05
0.20208333333333334,1.7965376228663307e-05
0.12291666666666666,1.7965376228663307e-05
0.008333333333333333,1.5719704200080396e-05
0.2604166666666667,1.5719704200080396e-05
0.26666666666666666,1.5719704200080396e-05
0.3458333333333333,1.3474032171497481e-05
0.40208333333333335,1.3474032171497481e-05
0.2791666666666667,1.3474032171497481e-05
0.29791666666666666,1.3474032171497481e-05
0.5291666666666667,1.3474032171497481e-05
0.24583333333333332,1.3474032171497481e-05
0.09791666666666667,1.3474032171497481e-05
0.54375,1.3474032171497481e-05
0.89375,1.3474032171497481e-05
0.8479166666666667,1.3474032171497481e-05
0.16458333333333333,1.3474032171497481e-05
0.94375,1.3474032171497481e-05
0.4354166666666667,1.3474032171497481e-05
0.30416666666666664,1.3474032171497481e-05
0.41041666666666665,1.3474032171497481e-05
0.9770833333333333,1.3474032171497481e-05
0.8666666666666667,1.3474032171497481e-05
0.44166666666666665,1.3474032171497481e-05
0.47291666666666665,1.3474032171497481e-05
0.5583333333333333,1.3474032171497481e-05
0.84375,1.3474032171497481e-05
0.6979166666666666,1.3474032171497481e-05
0.7770833333333333,1.1228360142914568e-05
0.11041666666666666,1.1228360142914568e-05
0.6958333333333333,1.1228360142914568e-05
0.7458333333333333,1.1228360142914568e-05
0.9458333333333333,1.1228360142914568e-05
0.65625,8.982688114331653e-06
0.6583333333333333,8.982688114331653e-06
0.21666666666666667,8.982688114331653e-06
0.7166666666666667,8.982688114331653e-06
0.8833333333333333,8.982688114331653e-06
0.9416666666666667,8.982688114331653e-06
0.86875,8.982688114331653e-06
0.73125,8.982688114331653e-06
0.61875,8.982688114331653e-06
0.80625,8.982688114331653e-06
0.98125,8.982688114331653e-06
0.6520833333333333,8.982688114331653e-06
