,X_pan,X_pitch,X_mainVol,X_expression,X_velocity,X_ovVol,Y_pan,Y_pitch,Y_mainVol,Y_expression,Y_velocity,Y_ovVol,Diff_timing(MicroSeconds),Diff_timing(Beats),Diff_pitch,Diff_freq,Diff_pan,Diff_mainVol,Diff_expression,Diff_velocity,Diff_ovVol,Diff_octave,Diff_program(group),X_panClassification,Y_panClassification,HasDiff_timing,HasDiff_program,HasDiff_pan,HasDiff_pitch,HasDiff_ppp,HasDiff_ovVol,HasDiff_octave,X_panIsCenter,Y_panIsCenter,X_hasPitchBend,Y_hasPitchBend
Diff_pitch,-0.07349536666418252,-0.5009513547855093,,,-0.008509033588174713,-0.008509033588174779,0.053555370508364696,0.5151638511193287,,,-0.004122764029144461,-0.004122764029144651,0.0035431110351040306,-0.010123479142098542,1.0,0.7183532512576988,0.08215999223755756,,,0.005892124023243717,0.005892124023243744,0.014739354301116708,0.014837810310012474,-0.06691460656367913,0.04997451972066825,-0.02993135182552003,0.014258140391396928,0.03074350530417163,-0.028848354981101634,-0.007528753485229988,0.018123980418439663,0.011694082156603254,-0.02933434583824548,-0.01815152285227852,0.028266122765206323,-0.03387377292302954
Diff_freq,-0.11364768434622685,-0.3291000568038395,,,0.015045094292259746,0.015045094292256781,0.08971409003770442,0.3826094226472854,,,0.01462545196940287,0.014625451969401399,-0.0003752143526460191,-0.018128983141284992,0.7183532512576988,1.0,0.12746326661448867,,,0.00011514236244862639,0.00011514236244863467,,0.012601037432525922,-0.10652308463783197,0.08577968542799015,-0.047157780531280835,0.013416081051716527,0.042634969863606376,-0.04021825739796243,-0.012052549606422758,0.02099165632073879,,-0.04507734661483907,-0.038749146011848506,0.029413040666948585,-0.047587049769366466
Diff_pan,-0.752514207700349,-0.034572319250635794,,,0.019508740907976208,0.01950874090797711,0.7853455080302448,0.048847902158077064,,,0.0007543413842836539,0.0007543413842855605,-0.024581767781383303,-0.0226775135755502,0.08215999223755756,0.12746326661448867,1.0,,,-0.025701494204456738,-0.025701494204454927,-0.03802814050547789,0.012304519764750405,-0.7249555379575638,0.7707852994215494,-0.00973888600918377,0.01232239870772269,-0.01642533267805572,0.004918470506272497,-0.004148237990200349,0.005540993223074841,0.01240781493594658,0.017279414943976428,0.011335561487316969,-0.011858700810283248,0.04262342300133548
Diff_mainVol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diff_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diff_velocity,0.021719792931383645,-0.003643167004591789,,,-0.33406045355315994,-0.3340604535531638,-0.017948256411786764,0.0023506082597426654,,,0.3865035158549389,0.3865035158549205,-0.04742528407893473,-0.03621744314836104,0.005892124023243717,0.00011514236244862639,-0.025701494204456738,,,1.0,1.0000000000000038,0.050352393199049134,0.04589042264642656,0.026352311259677807,-0.02153268177349858,-0.03571439490423539,0.050914459671666655,-0.006168030152557128,-0.001074005442878153,0.01885667176883053,-0.07135654851895472,0.032824458372479444,-0.03875325642308645,0.020231338016424658,0.042398586341566125,-0.03450875840124367
Diff_ovVol,0.02171979293138326,-0.0036431670045916826,,,-0.33406045355314984,-0.33406045355314756,-0.01794825641178632,0.002350608259742726,,,0.3865035158549123,0.38650351585492365,-0.047425284078934905,-0.03621744314835845,0.005892124023243744,0.00011514236244863467,-0.025701494204454927,,,1.0000000000000038,1.0,0.05035239319904878,0.04589042264642806,0.02635231125967757,-0.02153268177349886,-0.03571439490423385,0.05091445967166496,-0.006168030152557269,-0.001074005442878299,0.018856671768831917,-0.07135654851895724,0.03282445837247851,-0.0387532564230882,0.020231338016423465,0.04239858634156522,-0.034508758401243116
Diff_octave,0.026686656335234937,-0.0066863423742414664,,,-0.018753401860195116,-0.018753401860198575,-0.03167947442283657,0.008283784465054182,,,0.01757026826621542,0.017570268266213405,-0.0016566759767516277,-0.0012942677983783367,0.014739354301116708,,-0.03802814050547789,,,0.050352393199049134,0.05035239319904878,1.0,0.0063440936445356136,0.04436797294931295,-0.04976053498129514,0.0065260650465948766,0.00461198821528124,-0.014489494000296027,-0.007923992383789437,0.003459321270259582,-0.0017283499587807684,0.011853752089888857,0.02781710999849248,-0.014629104875896736,-0.018265975322812256,0.006036163705395201
Diff_program(group),0.060672041202450636,0.013982097922208779,,,0.15308010352449766,0.15308010352449972,0.07539838558437452,0.028851577635259303,,,0.18252647198028735,0.18252647198028385,-0.12588423549222957,-0.12589088847684643,0.014837810310012474,0.012601037432525922,0.012304519764750405,,,0.04589042264642656,0.04589042264642806,0.0063440936445356136,1.0,0.07153328967325315,0.08790871611803724,-0.16608010934510267,0.9525055247770872,-0.2557228055043819,-0.20428026224609022,0.1768532041928771,-0.010197945368046642,0.3118372340862813,0.22308352996131303,0.27261352782145626,-0.07967133276449215,-0.22170576191064287
X_panClassification,0.9699707666553238,0.00808722699730107,,,-0.042871038162359286,-0.042871038162371485,-0.17037745709469582,-0.059659349541788566,,,-0.023150096374741375,-0.023150096374731702,0.004356704705482776,0.020432549031966125,-0.06691460656367913,-0.10652308463783197,-0.7249555379575638,,,0.026352311259677807,0.02635231125967757,0.04436797294931295,0.07153328967325315,1.0,-0.16458629188340881,0.004505832171292115,0.05033729594113731,-0.1500064051898353,-0.0025091984781871646,-0.06457307480348516,0.07531849506760734,0.048338465290810574,-0.05591523952948494,-0.04698442845212783,0.030330573790643002,-0.022168506608650627
